"   ";"OWNER";"TABLE_NAME";"TABLESPACE_NAME";"CLUSTER_NAME";"IOT_NAME";"STATUS";"PCT_FREE";"PCT_USED";"INI_TRANS";"MAX_TRANS";"INITIAL_EXTENT";"NEXT_EXTENT";"MIN_EXTENTS";"MAX_EXTENTS";"PCT_INCREASE";"FREELISTS";"FREELIST_GROUPS";"LOGGING";"BACKED_UP";"NUM_ROWS";"BLOCKS";"EMPTY_BLOCKS";"AVG_SPACE";"CHAIN_CNT";"AVG_ROW_LEN";"AVG_SPACE_FREELIST_BLOCKS";"NUM_FREELIST_BLOCKS";"DEGREE";"INSTANCES";"CACHE";"TABLE_LOCK";"SAMPLE_SIZE";"LAST_ANALYZED";"PARTITIONED";"IOT_TYPE";"TEMPORARY";"SECONDARY";"NESTED";"BUFFER_POOL";"FLASH_CACHE";"CELL_FLASH_CACHE";"ROW_MOVEMENT";"GLOBAL_STATS";"USER_STATS";"DURATION";"SKIP_CORRUPT";"MONITORING";"CLUSTER_OWNER";"DEPENDENCIES";"COMPRESSION";"COMPRESS_FOR";"DROPPED";"READ_ONLY";"SEGMENT_CREATED";"RESULT_CACHE";"CLUSTERING";"ACTIVITY_TRACKING";"DML_TIMESTAMP";"HAS_IDENTITY";"CONTAINER_DATA";"INMEMORY";"INMEMORY_PRIORITY";"INMEMORY_DISTRIBUTE";"INMEMORY_COMPRESSION";"INMEMORY_DUPLICATE"
"689";"SYS";"SYS_IOT_OVER_6814";"SYSAUX";"";"RULE_SET_IOT$";"VALID";"10";"";"1";"255";"65536";"1048576";"1";"2147483645";"";"";"";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         0";"    N";"ENABLED";"6";"28.09.2017 22:00:18";"NO";"IOT_OVERFLOW";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"690";"SYS";"RULE_SET_IOT$";"";"";"";"VALID";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"N";"6";"";"";"";"0";"29";"0";"";"         1";"         1";"    N";"ENABLED";"6";"28.09.2017 22:00:18";"NO";"IOT";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"BASIC";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"691";"SYS";"SYS_IOT_OVER_6818";"SYSAUX";"";"RULE_SET_ROP$";"VALID";"10";"";"1";"255";"65536";"1048576";"1";"2147483645";"";"";"";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         0";"    N";"ENABLED";"4";"09.01.2016 06:17:14";"NO";"IOT_OVERFLOW";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"692";"SYS";"RULE_SET_ROP$";"";"";"";"VALID";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"N";"4";"";"";"";"0";"30";"0";"";"         1";"         1";"    N";"ENABLED";"4";"09.01.2016 06:17:14";"NO";"IOT";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"BASIC";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"693";"SYS";"SYS_IOT_OVER_6821";"SYSAUX";"";"RULE_SET_PTPDTY$";"VALID";"10";"";"1";"255";"65536";"1048576";"1";"2147483645";"";"";"";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         0";"    N";"ENABLED";"0";"09.01.2016 06:17:13";"NO";"IOT_OVERFLOW";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"694";"SYS";"RULE_SET_PTPDTY$";"";"";"";"VALID";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"N";"0";"";"";"";"0";"0";"0";"";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:17:13";"NO";"IOT";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"BASIC";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"695";"SYS";"FGA_LOG$FOR_EXPORT_TBL";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:13:04";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"696";"SYS";"AUDTAB$TBS$FOR_EXPORT_TBL";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:12:39";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"697";"SYS";"INVALIDATION_REGISTRY$";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:13:13";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"698";"SYS";"SYS_IOT_OVER_7215";"SYSAUX";"";"CHNF$_CLAUSES";"VALID";"10";"";"1";"255";"65536";"1048576";"1";"2147483645";"";"";"";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         0";"    N";"ENABLED";"0";"09.01.2016 06:12:45";"NO";"IOT_OVERFLOW";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"699";"SYS";"CHNF$_CLAUSES";"";"";"";"VALID";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"N";"0";"";"";"";"0";"0";"0";"";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:12:45";"NO";"IOT";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"BASIC";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"700";"SYS";"CHNF$_CLAUSE_DEPENDENTS";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:12:45";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
"701";"SYS";"CHNF$_QUERY_OBJECT";"SYSTEM";"";"";"VALID";"10";"40";"1";"255";"65536";"1048576";"1";"2147483645";"";"1";"1";"YES";"N";"0";"0";"0";"0";"0";"0";"0";"0";"         1";"         1";"    N";"ENABLED";"0";"09.01.2016 06:12:46";"NO";"";"N";"N";"NO";"DEFAULT";"DEFAULT";"DEFAULT";"DISABLED";"YES";"NO";"";"DISABLED";"YES";"";"DISABLED";"DISABLED";"";"NO";"NO";"YES";"DEFAULT";"NO";"";"";"NO";"NO";"DISABLED";"";"";"";""
